Student_id,Age,Gender,Race,Location,Email,CGPA,Previous_Achievements,CourseTaken,Grades,Certifications,Hard_Skills,Soft_Skills,Previous_Work_Experience_Type,Previous_Work_Experience_Years,Previous_JobProfile,Previous_Work_Experience_At,Current_Work_Experience_Type,Current_Work_Experience_Years,Current_Job_Profile,Current_Work_Experience_At,Interests,Keywords,Career Goal,Grade1,Grade2,Grade3,Total_Grades,Percentage,Final_Grade
111,35,F,Chinese,Perlis,yu@email.com,3.7,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Google Professional Machine Learning Engineer","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,3.4,Data Scientist,TechGiant Inc,Full-Time,4.76604028,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
112,35,M,Indian,Sabah,kumar@email.com,3.4,Master's Degree in Electrical Engineering,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure Data Scientist Associate, Oracle Cloud Infrastructure Data Science Certified Associate","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,3.4,Data Analyst,Data Analytics Inc,Full-Time,3.82707749,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
11111,20,F,Malay,Sarawak,nurul@email.com,3.8,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.4,Data Scientist,TechGiant Inc,Full-Time,0.504953716,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,D
114,20,M,Chinese,Kuala Lumpur,li@email.com,3.6,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Google Professional Machine Learning Engineer","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.4,Data Scientist,TechGiant Inc,Full-Time,1.979320694,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
115,19,F,Indian,Johor,siti@email.com,3.2,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,0.2,Data Analyst,Data Analytics Inc,Full-Time,1.57394145,Junior Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
116,40,M,Malay,Kedah,aziz@email.com,3.9,Master's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,4.4,Data Scientist,TechGiant Inc,Full-Time,4.506487578,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
117,26,F,Chinese,Penang,yee@email.com,3.7,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Google Professional Machine Learning Engineer","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,1.6,Data Scientist,TechGiant Inc,Full-Time,3.077022129,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
118,27,M,Indian,Perak,kumar@email.com,3.5,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure Data Scientist Associate, Oracle Cloud Infrastructure Data Science Certified Associate","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,1.8,Data Analyst,Data Analytics Inc,Full-Time,5.774274871,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
119,20,F,Malay,Selangor,nurul@email.com,3.8,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.4,Data Scientist,TechGiant Inc,Full-Time,1.60728131,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
120,19,M,Chinese,Terengganu,li@email.com,3.6,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Google Professional Machine Learning Engineer","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.2,Data Scientist,TechGiant Inc,Full-Time,5.179792585,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
121,38,F,Indian,Perlis,siti@email.com,3.3,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,4,Data Analyst,Data Analytics Inc,Full-Time,6.076317472,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
122,26,M,Malay,Johor,azlan@email.com,3.5,Bachelor's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,1.6,Data Scientist,TechGiant Inc,Full-Time,4.829047794,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
123,23,F,Chinese,Kedah,yee@email.com,3.7,Bachelor's Degree in Marketing,"Data Science, Machine Learning, Deep Learning","95, 90, 92","IBM Data Science Professional Certificate, Google Professional Machine Learning Engineer","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,1,Data Scientist,TechGiant Inc,Full-Time,5.805902613,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,95,90,92,277,92.33333333,A
124,39,M,Indian,Melaka,ram@email.com,3.2,Bachelor's Degree in Civil Engineering,"Data Analytics, Big Data, Cloud Computing","85, 80, 88","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,4.2,Data Analyst,Data Analytics Inc,Full-Time,8.537825189,Junior Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,85,80,88,253,84.33333333,B
125,21,F,Malay,Negeri Sembilan,nur@email.com,3.6,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","90, 92, 95","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.6,Data Scientist,TechGiant Inc,Full-Time,5.415061695,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
126,33,M,Chinese,Pahang,liu@email.com,3.8,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,3,Data Scientist,TechGiant Inc,Full-Time,4.787808238,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
127,34,F,Indian,Penang,siti@email.com,3.3,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,3.2,Data Analyst,Data Analytics Inc,Full-Time,4.005482358,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
128,29,M,Malay,Perak,azlan@email.com,3.5,Bachelor's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,2.2,Data Scientist,TechGiant Inc,Full-Time,6.999555787,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
129,34,F,Chinese,Selangor,lee@email.com,3.7,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,3.2,Data Scientist,TechGiant Inc,Full-Time,8.023896065,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
130,24,M,Indian,Kedah,rahman@email.com,3.2,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,1.2,Data Analyst,Data Analytics Inc,Full-Time,5.37530731,Junior Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
131,32,F,Malay,Johor,nur@email.com,3.6,Bachelor's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,2.8,Data Scientist,TechGiant Inc,Full-Time,5.120650868,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
132,27,M,Chinese,Perlis,wong@email.com,3.8,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,1.8,Data Scientist,TechGiant Inc,Full-Time,4.137422419,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
133,22,F,Indian,Negeri Sembilan,sarah@email.com,3.4,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,0.8,Data Analyst,Data Analytics Inc,Full-Time,2.035630418,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
134,35,M,Malay,Sabah,aziz@email.com,3.5,Bachelor's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,3.4,Data Scientist,TechGiant Inc,Full-Time,7.403630532,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
135,24,F,Chinese,Sarawak,lim@email.com,3.7,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,1.2,Data Scientist,TechGiant Inc,Full-Time,3.079751229,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
136,38,M,Indian,Kedah,kumar@email.com,3.2,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","75, 80, 85","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,4,Data Analyst,Data Analytics Inc,Full-Time,5.660590537,Junior Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,75,80,85,240,80,B
137,36,F,Malay,Johor,nur@email.com,3.6,Bachelor's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,3.6,Data Scientist,TechGiant Inc,Full-Time,6.731970876,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
138,22,M,Chinese,Penang,li@email.com,3.8,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.8,Data Scientist,TechGiant Inc,Full-Time,1.225738692,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
139,38,F,Indian,Perak,sita@email.com,3.3,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","70, 75, 80","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,4,Data Analyst,Data Analytics Inc,Full-Time,4.521607363,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,70,75,80,225,75,C
140,20,M,Malay,Selangor,azlan@email.com,3.7,Bachelor's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.4,Data Scientist,TechGiant Inc,Full-Time,4.666539702,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
141,24,F,Chinese,Kuala Lumpur,yu@email.com,3.9,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,1.2,Data Scientist,TechGiant Inc,Full-Time,5.698464974,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
142,34,M,Indian,Perlis,raj@email.com,3.1,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","70, 75, 80","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,3.2,Data Analyst,Data Analytics Inc,Full-Time,6.732651113,Junior Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,70,75,80,225,75,C
143,37,F,Malay,Johor,nurul@email.com,3.5,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","85, 90, 88","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,3.8,Data Scientist,TechGiant Inc,Full-Time,7.00939924,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
144,37,M,Chinese,Kedah,li@email.com,3.8,Bachelor's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","90, 92, 95","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,3.8,Data Scientist,TechGiant Inc,Full-Time,8.315704754,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
145,30,F,Indian,Melaka,siti@email.com,3.3,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","70, 75, 80","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,2.4,Data Analyst,Data Analytics Inc,Full-Time,3.559355903,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,70,75,80,225,75,C
146,30,M,Malay,Negeri Sembilan,azlan@email.com,3.6,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,2.4,Data Scientist,TechGiant Inc,Full-Time,3.884101135,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
147,28,F,Chinese,Pahang,yu@email.com,3.9,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,2,Data Scientist,TechGiant Inc,Full-Time,6.167379275,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
148,36,M,Indian,Penang,raj@email.com,3.1,Bachelor's Degree in IT,"Data Analytics, Big Data, Cloud Computing","70, 75, 80","Microsoft Certified: Azure AI Engineer Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,3.6,Data Analyst,Data Analytics Inc,Full-Time,8.304722482,Junior Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,70,75,80,225,75,C
149,30,F,Malay,Perak,nurul@email.com,3.5,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","85, 90, 88","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,2.4,Data Scientist,TechGiant Inc,Full-Time,3.594514447,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
150,25,M,Chinese,Selangor,li@email.com,3.7,Bachelor's Degree in Electrical Engineering,"Data Science, Machine Learning, Deep Learning","80, 85, 90","IBM Data Science Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,1.4,Data Scientist,TechGiant Inc,Full-Time,5.405233057,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,80,85,90,255,85,B
151,35,F,Indian,Kedah,priya@email.com,3.3,Bachelor's Degree in Marketing,"Data Analytics, Big Data, Cloud Computing","75, 80, 85","Microsoft Certified: Azure Data Scientist Associate, Certified Analytics Professional (CAP)","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,3.4,Data Analyst,Data Analytics Inc,Full-Time,3.588711941,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,75,80,85,240,80,B
152,28,M,Malay,Johor,aziz@email.com,3.6,Bachelor's Degree in Civil Engineering,"Data Science, Machine Learning, Deep Learning","85, 90, 88","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,2,Data Scientist,TechGiant Inc,Full-Time,6.92495406,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
